work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size,job_category,company_location_grp
2023,SE,FT,95000,100,M,ML/AI Engineer,CA
2023,MI,FT,182500,0,M,Data Analyst,US
2023,MI,FT,121500,0,M,Data Analyst,US
2023,SE,FT,203100,0,M,Data Engineer,US
2023,SE,FT,114500,0,M,Data Engineer,US
2023,MI,FT,72914,0,M,Data Analyst,GB
2023,MI,FT,54685,0,M,Data Analyst,GB
2023,SE,FT,252000,0,M,Data Engineer,US
2023,SE,FT,129000,0,M,Data Engineer,US
2023,EN,FT,92700,100,M,Data Engineer,US
2023,EN,FT,61800,100,M,Data Engineer,US
2023,SE,FT,160000,100,M,Data Engineer,US
2023,SE,FT,130000,100,M,Data Engineer,US
2023,SE,FT,258000,0,M,Data Scientist,CA
2023,SE,FT,190000,0,M,Data Scientist,CA
2023,SE,FT,170000,0,M,Data Scientist,US
2023,SE,FT,135000,0,M,Data Scientist,US
2023,MI,FT,167500,0,M,Data Engineer,US
2023,MI,FT,106500,0,M,Data Engineer,US
2023,SE,FT,195000,0,M,Data Scientist,US
2023,SE,FT,160000,0,M,Data Scientist,US
2023,MI,FT,146000,0,M,Data Engineer,US
2023,MI,FT,75000,0,M,Data Engineer,US
2022,EN,FT,59888,100,L,Data Engineer,Other
2023,EX,FT,286000,100,M,Data Engineer,US
2023,EX,FT,207000,100,M,Data Engineer,US
2023,SE,FT,100000,100,M,Data Analyst,US
2023,SE,FT,80000,100,M,Data Analyst,US
2023,SE,FT,223250,0,M,Data Engineer,US
2023,SE,FT,178600,0,M,Data Engineer,US
2023,EX,FT,353200,0,M,Management,US
2023,EX,FT,249300,0,M,Management,US
2023,MI,FT,230000,0,M,ML/AI Engineer,US
2023,MI,FT,220000,0,M,ML/AI Engineer,US
2023,SE,FT,297300,100,M,Data Scientist,US
2023,SE,FT,198200,100,M,Data Scientist,US
2023,MI,FT,210000,100,M,Data Scientist,US
2023,MI,FT,151800,100,M,Data Scientist,US
2023,SE,FT,200000,100,M,Data Scientist,US
2023,SE,FT,170000,100,M,Data Scientist,US
2023,SE,FT,317070,0,M,Data Scientist,US
2023,SE,FT,170730,0,M,Data Scientist,US
2023,SE,FT,128000,0,M,Data Engineer,US
2023,SE,FT,81500,0,M,Data Engineer,US
2023,EN,FT,21461,0,M,Data Analyst,ES
2023,SE,FT,108000,0,M,ML/AI Engineer,Other
2023,SE,FT,60000,0,M,ML/AI Engineer,Other
2023,MI,FT,134000,100,M,Data Engineer,US
2023,MI,FT,124000,100,M,Data Engineer,US
2023,SE,FT,171250,0,M,Data Engineer,US
2023,SE,FT,113750,0,M,Data Engineer,US
2023,SE,FT,165000,0,M,Data Engineer,US
2023,SE,FT,132300,0,M,Data Engineer,US
2023,SE,FT,225000,0,M,Data Scientist,US
2023,SE,FT,175000,0,M,Data Scientist,US
2023,SE,FT,230000,0,M,Data Engineer,US
2023,SE,FT,124500,0,M,Data Engineer,US
2023,SE,FT,247500,0,M,ML/AI Engineer,US
2023,SE,FT,172200,0,M,ML/AI Engineer,US
2023,SE,FT,175000,0,M,Data Analyst,US
2023,SE,FT,145000,0,M,Data Analyst,US
2023,SE,FT,148700,0,M,Data Analyst,US
2023,SE,FT,125600,0,M,Data Analyst,US
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,115000,0,M,Data Engineer,US
2023,SE,FT,200000,0,M,Data Scientist,US
2023,SE,FT,150000,0,M,Data Scientist,US
2023,EN,FT,160000,0,M,Data Engineer,US
2023,EN,FT,120000,0,M,Data Engineer,US
2023,SE,FT,185000,100,M,Data Analyst,US
2023,SE,FT,120250,100,M,Data Analyst,US
2023,SE,FT,275300,100,M,Data Scientist,US
2023,SE,FT,183000,100,M,Data Scientist,US
2023,SE,FT,170000,100,M,Data Engineer,US
2023,SE,FT,125000,100,M,Data Engineer,US
2023,MI,FT,167500,0,M,Data Engineer,US
2023,MI,FT,106500,0,M,Data Engineer,US
2023,SE,FT,250000,0,M,Data Scientist,US
2023,SE,FT,200000,0,M,Data Scientist,US
2023,MI,FT,135000,50,L,ML/AI Engineer,US
2023,SE,FT,423834,0,L,ML/AI Engineer,Other
2023,SE,FT,216000,100,M,ML/AI Engineer,US
2023,SE,FT,184000,100,M,ML/AI Engineer,US
2023,SE,FT,180000,100,M,Data Engineer,US
2023,SE,FT,165000,100,M,Data Engineer,US
2023,SE,FT,185900,0,M,Data Scientist,US
2023,SE,FT,129300,0,M,Data Scientist,US
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,120000,0,M,Data Engineer,US
2023,MI,FT,143865,0,M,Data Engineer,US
2023,MI,FT,115092,0,M,Data Engineer,US
2023,MI,FT,130000,0,M,ML/AI Engineer,US
2023,MI,FT,90000,0,M,ML/AI Engineer,US
2023,SE,FT,173000,100,M,Data Scientist,US
2023,SE,FT,132000,100,M,Data Scientist,US
2023,SE,FT,208049,0,M,Data Analyst,US
2023,SE,FT,128500,0,M,Data Analyst,US
2023,SE,FT,179820,0,M,Data Engineer,US
2023,SE,FT,143860,0,M,Data Engineer,US
2023,SE,FT,167500,0,M,Data Engineer,US
2023,SE,FT,106500,0,M,Data Engineer,US
2023,SE,FT,275300,100,M,Data Scientist,US
